Frame Number, Location X, Location Y, Rotation
1873, 790.378923, 354.112412, -98.983498
1874, 789.731129, 350.958961, -97.982582
1875, 789.413635, 349.313348, -96.981262
1876, 788.911333, 346.348234, -95.977943
1877, 788.636216, 344.591255, -94.972839
1878, 788.397578, 342.9307, -93.966003
1879, 788.009253, 339.625448, -92.955917
1880, 787.812274, 337.734435, -91.943939
1881, 787.646116, 335.899266, -90.930244
1882, 787.418575, 332.316176, -89.913841
1883, 787.324222, 330.474331, -88.89637
1884, 787.230702, 326.959691, -87.877335
1885, 787.203581, 325.162964, -86.857674
1886, 787.205125, 322.8998, -85.838127
1887, 787.296639, 319.352891, -84.860825
1888, 787.369221, 317.445353, -83.911652
1889, 787.524378, 313.651453, -83.020691
1890, 787.631207, 311.758696, -82.155548
1891, 787.749076, 310.081137, -81.325562
1892, 788.041416, 306.122847, -80.561691
1893, 788.210712, 304.269146, -79.824158
1894, 788.406797, 302.449502, -79.107658
1895, 788.927131, 298.724255, -78.419327
1896, 789.212688, 296.849924, -77.742928
1897, 789.525228, 294.957098, -77.075523
1898, 790.191808, 291.420816, -76.42067
1899, 790.547233, 289.630011, -75.771034
1900, 791.280633, 286.261564, -75.127747
1901, 791.707576, 284.38265, -74.487808
1902, 792.152999, 282.505123, -73.850494
1903, 792.993107, 279.214427, -73.216164
1904, 793.460394, 277.444808, -72.583015
1905, 794.448555, 273.945347, -71.95192
1906, 795.000673, 272.04961, -71.321678
1907, 795.483061, 270.438386, -70.692047
1908, 796.591345, 266.956255, -70.063202
1909, 797.138489, 265.279897, -69.434593
1910, 797.710149, 263.575743, -68.805725
1911, 798.854068, 260.341185, -68.149513
1912, 799.465347, 258.654466, -67.440933
1913, 800.092855, 256.968487, -66.671219
1914, 801.309559, 253.864093, -65.78096
1915, 801.994501, 252.163085, -64.8274
1916, 803.427829, 248.804748, -63.722256
1917, 804.201943, 247.043554, -62.53746
1918, 804.911822, 245.476735, -61.291645
1919, 805.876276, 243.440544, -59.985237
1920, 807.459286, 240.325025, -58.621399
1921, 808.723812, 237.957023, -57.226955
1922, 809.996651, 235.687737, -55.812897
1923, 811.019069, 233.935308, -54.386871
1924, 812.03867, 232.25745, -52.951881
1925, 813.052764, 230.656356, -51.510136
1926, 814.120012, 229.043961, -50.062916
1927, 816.305676, 226.00952, -48.608212
1928, 817.370756, 224.581662, -47.150299
1929, 818.450198, 223.187104, -45.689342
1930, 819.799615, 221.523657, -44.225315
1931, 821.254357, 219.816313, -42.772984
1932, 822.68854, 218.210165, -41.336521
1933, 824.26018, 216.536064, -39.924637
1934, 825.92492, 214.851153, -38.541142
1935, 827.430093, 213.394223, -37.181213
1936, 830.387353, 210.761841, -35.866943
1937, 832.021598, 209.363166, -34.583927
1938, 833.669214, 207.95949, -33.459785
1939, 835.253664, 206.616654, -32.518154
1940, 836.791845, 205.320473, -31.720438
1941, 838.314507, 204.045316, -31.028917
1942, 839.853688, 202.764985, -30.415474
1943, 841.395314, 201.491741, -29.856726
1944, 842.954029, 200.214073, -29.336193
1945, 844.520945, 198.939777, -28.84251
1946, 846.080829, 197.681447, -28.367594
1947, 847.601939, 196.464342, -27.905186
1948, 849.230547, 195.172804, -27.45249
1949, 850.714774, 194.079688, -27.006916
1950, 852.23427, 193.030847, -26.566317
1951, 853.850005, 191.980121, -26.129805
1952, 855.506946, 190.958219, -25.695887
1953, 857.136958, 189.99777, -25.26412
1954, 858.889979, 189.008915, -24.83407
1955, 860.568124, 188.09678, -24.405146
1956, 862.259513, 187.208182, -23.977055
1957, 863.990687, 186.327309, -23.549599
1958, 864.455562, 185.461138, -23.123005
1959, 864.572515, 184.655543, -22.697025
1960, 864.598257, 183.960608, -22.27136
1961, 864.60591, 183.313289, -21.845976
1962, 864.607597, 182.727232, -21.420835
1963, 864.607597, 182.188726, -20.995838
1964, 864.607597, 181.691806, -20.570749
1965, 864.607597, 181.242466, -20.145863
1966, 864.607597, 180.821341, -19.720961
1967, 864.607597, 180.453399, -19.296087
1968, 864.607597, 180.108933, -18.87138
1969, 864.607597, 179.791273, -18.446865
1970, 864.607597, 179.498969, -18.03096
1971, 864.607597, 179.224194, -17.652054
1972, 864.607597, 178.983254, -17.347973
1973, 864.607597, 178.757107, -17.114197
1974, 864.608098, 178.565613, -16.936922
1975, 864.609116, 178.394664, -16.805914
1976, 864.609116, 178.239627, -16.712551
1977, 864.611085, 178.106164, -16.648069
1978, 864.614371, 178.014899, -16.605947
1979, 864.617203, 177.965505, -16.58131
1980, 864.618808, 177.945043, -16.570238
1981, 864.618808, 177.945043, -16.570059
1982, 864.618808, 177.945043, -16.570238
1983, 864.618808, 177.945043, -16.570238
1984, 864.618808, 177.945043, -16.570238
1985, 864.618808, 177.945043, -16.570238
1986, 864.618808, 177.945043, -16.570238
1987, 864.618808, 177.945043, -16.570238
1988, 864.618808, 177.945043, -16.570238
1989, 864.618808, 177.945043, -16.570238
1990, 864.618808, 177.945043, -16.570238
1991, 864.618808, 177.945043, -16.570238
1992, 864.618808, 177.945043, -16.570238
1993, 864.618808, 177.945043, -16.570238
1994, 864.618808, 177.945043, -16.570238
1995, 864.618808, 177.945043, -16.570238
1996, 864.618808, 177.945043, -16.570238
1997, 864.618808, 177.945043, -16.570238
1998, 864.618808, 177.945043, -16.570238
1999, 864.618808, 177.945043, -16.570238
2000, 864.618808, 177.945043, -16.569834
2001, 864.616817, 177.945636, -16.562349
2002, 864.587811, 177.954262, -16.542049
2003, 864.556867, 177.963458, -16.512501
2004, 864.507567, 177.978092, -16.474518
2005, 864.436505, 177.99915, -16.429293
2006, 864.343129, 178.026767, -16.377789
2007, 864.050845, 178.112895, -16.317846
2008, 863.8931, 178.159292, -16.253391
2009, 863.636905, 178.23441, -16.183851
2010, 863.361091, 178.315025, -16.110027
2011, 862.999941, 178.420178, -16.032362
2012, 862.158634, 178.66356, -15.951929
2013, 861.699481, 178.795989, -15.868851
2014, 861.215851, 178.935009, -15.783988
2015, 860.502727, 179.139008, -15.702042
2016, 859.715703, 179.363063, -15.624981
2017, 858.18779, 179.79479, -15.553863
2018, 857.3276, 180.037011, -15.485143
2019, 856.476381, 180.275893, -15.418441
2020, 855.445828, 180.56394, -15.353894
2021, 853.24653, 181.1742, -15.292454
2022, 851.996215, 181.519984, -15.23278
2023, 850.712999, 181.873674, -15.174694
2024, 849.432625, 182.225439, -15.120809
2025, 848.089115, 182.593366, -15.074485
2026, 846.3255, 183.076032, -15.039825
2027, 845.657071, 183.258916, -15.010618
2028, 845.121159, 183.405495, -14.987295
2029, 844.826518, 183.486054, -14.969504
2030, 844.701542, 183.520208, -14.957008
2031, 844.641445, 183.536623, -14.949928
2032, 844.641445, 183.536623, -14.949928
2033, 844.64712, 183.535108, -14.921145
2034, 844.677752, 183.526942, -14.834127
2035, 844.790228, 183.4971, -14.659568
